i1	i2	i3	i4	i5	i6	i7	i8	i9	i10	oko0	oko1
0.722	0.444	0.056	-0.222	-0.611	-0.833	0.444	0.444	-0.222	0.833	0	1
0.444	0.056	-0.222	-0.611	-0.833	0.444	0.444	-0.222	0.833	-0.778	0	1
0.056	-0.222	-0.611	-0.833	0.444	0.444	-0.222	0.833	-0.778	-0.778	1	0
-0.222	-0.611	-0.833	0.444	0.444	-0.222	0.833	-0.778	-0.778	-0.278	0	1
-0.611	-0.833	0.444	0.444	-0.222	0.833	-0.778	-0.778	-0.278	-0.667	1	0
-0.833	0.444	0.444	-0.222	0.833	-0.778	-0.778	-0.278	-0.667	-0.500	1	0
0.444	0.444	-0.222	0.833	-0.778	-0.778	-0.278	-0.667	-0.500	0.556	1	0
0.444	-0.222	0.833	-0.778	-0.778	-0.278	-0.667	-0.500	0.556	-0.444	0	1
-0.222	0.833	-0.778	-0.778	-0.278	-0.667	-0.500	0.556	-0.444	-0.944	0	1
0.833	-0.778	-0.778	-0.278	-0.667	-0.500	0.556	-0.444	-0.944	-1.000	1	0
-0.778	-0.778	-0.278	-0.667	-0.500	0.556	-0.444	-0.944	-1.000	0.944	0	1
-0.778	-0.278	-0.667	-0.500	0.556	-0.444	-0.944	-1.000	0.944	-0.611	0	1
-0.278	-0.667	-0.500	0.556	-0.444	-0.944	-1.000	0.944	-0.611	-0.444	0	1
-0.667	-0.500	0.556	-0.444	-0.944	-1.000	0.944	-0.611	-0.444	-0.889	0	1
-0.500	0.556	-0.444	-0.944	-1.000	0.944	-0.611	-0.444	-0.889	-0.778	1	0
0.556	-0.444	-0.944	-1.000	0.944	-0.611	-0.444	-0.889	-0.778	-0.111	1	0
-0.444	-0.944	-1.000	0.944	-0.611	-0.444	-0.889	-0.778	-0.111	-0.056	1	0
-0.944	-1.000	0.944	-0.611	-0.444	-0.889	-0.778	-0.111	-0.056	0.167	1	0
-1.000	0.944	-0.611	-0.444	-0.889	-0.778	-0.111	-0.056	0.167	-0.500	1	0
0.944	-0.611	-0.444	-0.889	-0.778	-0.111	-0.056	0.167	-0.500	1.000	1	0
-0.611	-0.444	-0.889	-0.778	-0.111	-0.056	0.167	-0.500	1.000	-0.333	0	1
-0.444	-0.889	-0.778	-0.111	-0.056	0.167	-0.500	1.000	-0.333	-0.722	0	1
-0.889	-0.778	-0.111	-0.056	0.167	-0.500	1.000	-0.333	-0.722	0.944	1	0
-0.778	-0.111	-0.056	0.167	-0.500	1.000	-0.333	-0.722	0.944	-0.500	1	0
-0.111	-0.056	0.167	-0.500	1.000	-0.333	-0.722	0.944	-0.500	0.333	0	1
-0.056	0.167	-0.500	1.000	-0.333	-0.722	0.944	-0.500	0.333	0.556	0	1
0.167	-0.500	1.000	-0.333	-0.722	0.944	-0.500	0.333	0.556	0.722	1	0
-0.500	1.000	-0.333	-0.722	0.944	-0.500	0.333	0.556	0.722	-0.500	1	0
1.000	-0.333	-0.722	0.944	-0.500	0.333	0.556	0.722	-0.500	0.444	0	1
-0.333	-0.722	0.944	-0.500	0.333	0.556	0.722	-0.500	0.444	0.611	0	1
-0.722	0.944	-0.500	0.333	0.556	0.722	-0.500	0.444	0.611	0.778	1	0
0.944	-0.500	0.333	0.556	0.722	-0.500	0.444	0.611	0.778	0.000	1	0
-0.500	0.333	0.556	0.722	-0.500	0.444	0.611	0.778	0.000	-0.444	1	0
0.333	0.556	0.722	-0.500	0.444	0.611	0.778	0.000	-0.444	0.389	1	0
0.556	0.722	-0.500	0.444	0.611	0.778	0.000	-0.444	0.389	-0.111	1	0
0.722	-0.500	0.444	0.611	0.778	0.000	-0.444	0.389	-0.111	0.278	0	1
-0.500	0.444	0.611	0.778	0.000	-0.444	0.389	-0.111	0.278	0.889	0	1
0.444	0.611	0.778	0.000	-0.444	0.389	-0.111	0.278	0.889	1.001	0	0
0.611	0.778	0.000	-0.444	0.389	-0.111	0.278	0.889	1.000	-0.722	1	0
0.778	0.000	-0.444	0.389	-0.111	0.278	0.889	1.000	-0.722	0.000	1	0
0.000	-0.444	0.389	-0.111	0.278	0.889	1.000	-0.722	0.000	-0.333	1	0
-0.444	0.389	-0.111	0.278	0.889	1.000	-0.722	0.000	-0.333	0.278	0	1
0.389	-0.111	0.278	0.889	1.000	-0.722	0.000	-0.333	0.278	0.556	0	1
-0.111	0.278	0.889	1.000	-0.722	0.000	-0.333	0.278	0.556	-0.667	0	1
0.278	0.889	1.000	-0.722	0.000	-0.333	0.278	0.556	-0.667	0.611	1	0
0.889	1.000	-0.722	0.000	-0.333	0.278	0.556	-0.667	0.611	0.333	1	0
1.000	-0.722	0.000	-0.333	0.278	0.556	-0.667	0.611	0.333	0.444	0	1
-0.722	0.000	-0.333	0.278	0.556	-0.667	0.611	0.333	0.444	0.778	1	0
0.000	-0.333	0.278	0.556	-0.667	0.611	0.333	0.444	0.778	-0.444	1	0
-0.333	0.278	0.556	-0.667	0.611	0.333	0.444	0.778	-0.444	0.167	0	1
0.278	0.556	-0.667	0.611	0.333	0.444	0.778	-0.444	0.167	0.944	1	0
0.556	-0.667	0.611	0.333	0.444	0.778	-0.444	0.167	0.944	-0.278	1	0
-0.667	0.611	0.333	0.444	0.778	-0.444	0.167	0.944	-0.278	-0.444	1	0
0.611	0.333	0.444	0.778	-0.444	0.167	0.944	-0.278	-0.444	-0.444	1	0
0.333	0.444	0.778	-0.444	0.167	0.944	-0.278	-0.444	-0.444	-0.222	1	0
0.444	0.778	-0.444	0.167	0.944	-0.278	-0.444	-0.444	-0.222	-0.167	1	0
0.778	-0.444	0.167	0.944	-0.278	-0.444	-0.444	-0.222	-0.167	-0.389	0	1
-0.444	0.167	0.944	-0.278	-0.444	-0.444	-0.222	-0.167	-0.389	-0.556	1	0
0.167	0.944	-0.278	-0.444	-0.444	-0.222	-0.167	-0.389	-0.556	0.444	0	1
0.944	-0.278	-0.444	-0.444	-0.222	-0.167	-0.389	-0.556	0.444	-0.556	1	0
-0.278	-0.444	-0.444	-0.222	-0.167	-0.389	-0.556	0.444	-0.556	-0.500	1	0
-0.444	-0.444	-0.222	-0.167	-0.389	-0.556	0.444	-0.556	-0.500	0.556	1	0
-0.444	-0.222	-0.167	-0.389	-0.556	0.444	-0.556	-0.500	0.556	-0.444	0	1
-0.222	-0.167	-0.389	-0.556	0.444	-0.556	-0.500	0.556	-0.444	1.001	0	0
-0.167	-0.389	-0.556	0.444	-0.556	-0.500	0.556	-0.444	1.000	-0.667	1	0
-0.389	-0.556	0.444	-0.556	-0.500	0.556	-0.444	1.000	-0.667	0.111	0	1
-0.556	0.444	-0.556	-0.500	0.556	-0.444	1.000	-0.667	0.111	-0.722	1	0
0.444	-0.556	-0.500	0.556	-0.444	1.000	-0.667	0.111	-0.722	-0.056	0	1
-0.556	-0.500	0.556	-0.444	1.000	-0.667	0.111	-0.722	-0.056	-0.556	1	0
-0.500	0.556	-0.444	1.000	-0.667	0.111	-0.722	-0.056	-0.556	0.001	0	0
0.556	-0.444	1.000	-0.667	0.111	-0.722	-0.056	-0.556	0.000	-0.611	0	1
-0.444	1.000	-0.667	0.111	-0.722	-0.056	-0.556	0.000	-0.611	0.722	1	0
1.000	-0.667	0.111	-0.722	-0.056	-0.556	0.000	-0.611	0.722	0.000	1	0
-0.667	0.111	-0.722	-0.056	-0.556	0.000	-0.611	0.722	0.000	0.111	1	0
0.111	-0.722	-0.056	-0.556	0.000	-0.611	0.722	0.000	0.111	0.167	1	0
-0.722	-0.056	-0.556	0.000	-0.611	0.722	0.000	0.111	0.167	0.389	0	1
-0.056	-0.556	0.000	-0.611	0.722	0.000	0.111	0.167	0.389	1.001	0	0
-0.556	0.000	-0.611	0.722	0.000	0.111	0.167	0.389	1.000	-0.833	0	1
0.000	-0.611	0.722	0.000	0.111	0.167	0.389	1.000	-0.833	-0.833	1	0
-0.611	0.722	0.000	0.111	0.167	0.389	1.000	-0.833	-0.833	-0.389	1	0
0.722	0.000	0.111	0.167	0.389	1.000	-0.833	-0.833	-0.389	0.167	1	0
0.000	0.111	0.167	0.389	1.000	-0.833	-0.833	-0.389	0.167	-0.222	1	0
0.111	0.167	0.389	1.000	-0.833	-0.833	-0.389	0.167	-0.222	-0.167	1	0
0.167	0.389	1.000	-0.833	-0.833	-0.389	0.167	-0.222	-0.167	-0.333	0	1
0.389	1.000	-0.833	-0.833	-0.389	0.167	-0.222	-0.167	-0.333	-0.556	1	0
1.000	-0.833	-0.833	-0.389	0.167	-0.222	-0.167	-0.333	-0.556	0.389	1	0
-0.833	-0.833	-0.389	0.167	-0.222	-0.167	-0.333	-0.556	0.389	0.278	1	0
-0.833	-0.389	0.167	-0.222	-0.167	-0.333	-0.556	0.389	0.278	-0.278	1	0
-0.389	0.167	-0.222	-0.167	-0.333	-0.556	0.389	0.278	-0.278	0.111	1	0
0.167	-0.222	-0.167	-0.333	-0.556	0.389	0.278	-0.278	0.111	0.056	0	1
-0.222	-0.167	-0.333	-0.556	0.389	0.278	-0.278	0.111	0.056	1.000	1	0
-0.167	-0.333	-0.556	0.389	0.278	-0.278	0.111	0.056	1.000	0.222	0	1
-0.333	-0.556	0.389	0.278	-0.278	0.111	0.056	1.000	0.222	0.611	0	1
-0.556	0.389	0.278	-0.278	0.111	0.056	1.000	0.222	0.611	0.722	1	0
0.389	0.278	-0.278	0.111	0.056	1.000	0.222	0.611	0.722	-0.333	1	0
0.278	-0.278	0.111	0.056	1.000	0.222	0.611	0.722	-0.333	-0.278	0	1
-0.278	0.111	0.056	1.000	0.222	0.611	0.722	-0.333	-0.278	0.667	0	1
0.111	0.056	1.000	0.222	0.611	0.722	-0.333	-0.278	0.667	-0.889	1	0
0.056	1.000	0.222	0.611	0.722	-0.333	-0.278	0.667	-0.889	0.000	1	0
1.000	0.222	0.611	0.722	-0.333	-0.278	0.667	-0.889	0.000	0.333	1	0
0.222	0.611	0.722	-0.333	-0.278	0.667	-0.889	0.000	0.333	0.333	0	1
0.611	0.722	-0.333	-0.278	0.667	-0.889	0.000	0.333	0.333	-0.556	0	1
0.722	-0.333	-0.278	0.667	-0.889	0.000	0.333	0.333	-0.556	0.778	0	1
-0.333	-0.278	0.667	-0.889	0.000	0.333	0.333	-0.556	0.778	-0.944	1	0
-0.278	0.667	-0.889	0.000	0.333	0.333	-0.556	0.778	-0.944	-0.167	1	0
0.667	-0.889	0.000	0.333	0.333	-0.556	0.778	-0.944	-0.167	-0.333	1	0
-0.889	0.000	0.333	0.333	-0.556	0.778	-0.944	-0.167	-0.333	0.111	1	0
0.000	0.333	0.333	-0.556	0.778	-0.944	-0.167	-0.333	0.111	-0.167	0	1
0.333	0.333	-0.556	0.778	-0.944	-0.167	-0.333	0.111	-0.167	-0.667	1	0
0.333	-0.556	0.778	-0.944	-0.167	-0.333	0.111	-0.167	-0.667	0.333	0	1
-0.556	0.778	-0.944	-0.167	-0.333	0.111	-0.167	-0.667	0.333	-1.000	1	0
0.778	-0.944	-0.167	-0.333	0.111	-0.167	-0.667	0.333	-1.000	0.167	0	1
-0.944	-0.167	-0.333	0.111	-0.167	-0.667	0.333	-1.000	0.167	-0.556	1	0
-0.167	-0.333	0.111	-0.167	-0.667	0.333	-1.000	0.167	-0.556	-0.389	1	0
-0.333	0.111	-0.167	-0.667	0.333	-1.000	0.167	-0.556	-0.389	-0.389	1	0
0.111	-0.167	-0.667	0.333	-1.000	0.167	-0.556	-0.389	-0.389	-0.111	0	1
-0.167	-0.667	0.333	-1.000	0.167	-0.556	-0.389	-0.389	-0.111	0.889	1	0
-0.667	0.333	-1.000	0.167	-0.556	-0.389	-0.389	-0.111	0.889	-0.389	1	0
0.333	-1.000	0.167	-0.556	-0.389	-0.389	-0.111	0.889	-0.389	-0.167	0	1
-1.000	0.167	-0.556	-0.389	-0.389	-0.111	0.889	-0.389	-0.167	0.667	0	1
0.167	-0.556	-0.389	-0.389	-0.111	0.889	-0.389	-0.167	0.667	-0.889	1	0
-0.556	-0.389	-0.389	-0.111	0.889	-0.389	-0.167	0.667	-0.889	0.167	1	0
-0.389	-0.389	-0.111	0.889	-0.389	-0.167	0.667	-0.889	0.167	-0.278	0	1
-0.389	-0.111	0.889	-0.389	-0.167	0.667	-0.889	0.167	-0.278	0.722	1	0
-0.111	0.889	-0.389	-0.167	0.667	-0.889	0.167	-0.278	0.722	-0.333	1	0
0.889	-0.389	-0.167	0.667	-0.889	0.167	-0.278	0.722	-0.333	0.444	1	0
-0.389	-0.167	0.667	-0.889	0.167	-0.278	0.722	-0.333	0.444	0.333	0	1
-0.167	0.667	-0.889	0.167	-0.278	0.722	-0.333	0.444	0.333	0.944	0	1
0.667	-0.889	0.167	-0.278	0.722	-0.333	0.444	0.333	0.944	0.833	1	0
-0.889	0.167	-0.278	0.722	-0.333	0.444	0.333	0.944	0.833	-0.444	1	0
0.167	-0.278	0.722	-0.333	0.444	0.333	0.944	0.833	-0.444	-0.222	0	1
-0.278	0.722	-0.333	0.444	0.333	0.944	0.833	-0.444	-0.222	0.889	0	1
0.722	-0.333	0.444	0.333	0.944	0.833	-0.444	-0.222	0.889	0.889	1	0
-0.333	0.444	0.333	0.944	0.833	-0.444	-0.222	0.889	0.889	0.444	1	0
0.444	0.333	0.944	0.833	-0.444	-0.222	0.889	0.889	0.444	0.111	1	0
0.333	0.944	0.833	-0.444	-0.222	0.889	0.889	0.444	0.111	0.056	1	0
0.944	0.833	-0.444	-0.222	0.889	0.889	0.444	0.111	0.056	0.111	1	0
0.833	-0.444	-0.222	0.889	0.889	0.444	0.111	0.056	0.111	0.444	0	1
-0.444	-0.222	0.889	0.889	0.444	0.111	0.056	0.111	0.444	-1.001	0	0
-0.222	0.889	0.889	0.444	0.111	0.056	0.111	0.444	-1.000	-0.667	1	0
0.889	0.889	0.444	0.111	0.056	0.111	0.444	-1.000	-0.667	0.444	0	1
0.889	0.444	0.111	0.056	0.111	0.444	-1.000	-0.667	0.444	0.833	0	1
0.444	0.111	0.056	0.111	0.444	-1.000	-0.667	0.444	0.833	-0.889	1	0
0.111	0.056	0.111	0.444	-1.000	-0.667	0.444	0.833	-0.889	0.056	1	0
0.056	0.111	0.444	-1.000	-0.667	0.444	0.833	-0.889	0.056	-0.167	0	1
0.111	0.444	-1.000	-0.667	0.444	0.833	-0.889	0.056	-0.167	-0.778	0	1
0.444	-1.000	-0.667	0.444	0.833	-0.889	0.056	-0.167	-0.778	0.667	1	0
-1.000	-0.667	0.444	0.833	-0.889	0.056	-0.167	-0.778	0.667	0.167	1	0
-0.667	0.444	0.833	-0.889	0.056	-0.167	-0.778	0.667	0.167	0.222	0	1
0.444	0.833	-0.889	0.056	-0.167	-0.778	0.667	0.167	0.222	-0.944	1	0
0.833	-0.889	0.056	-0.167	-0.778	0.667	0.167	0.222	-0.944	-0.222	1	0
-0.889	0.056	-0.167	-0.778	0.667	0.167	0.222	-0.944	-0.222	-0.333	1	0
0.056	-0.167	-0.778	0.667	0.167	0.222	-0.944	-0.222	-0.333	-0.222	1	0
-0.167	-0.778	0.667	0.167	0.222	-0.944	-0.222	-0.333	-0.222	-0.389	1	0
-0.778	0.667	0.167	0.222	-0.944	-0.222	-0.333	-0.222	-0.389	-0.389	0	1
0.667	0.167	0.222	-0.944	-0.222	-0.333	-0.222	-0.389	-0.389	-0.778	0	1
0.167	0.222	-0.944	-0.222	-0.333	-0.222	-0.389	-0.389	-0.778	-0.833	0	1
0.222	-0.944	-0.222	-0.333	-0.222	-0.389	-0.389	-0.778	-0.833	0.722	1	0
-0.944	-0.222	-0.333	-0.222	-0.389	-0.389	-0.778	-0.833	0.722	-0.389	1	0
-0.222	-0.333	-0.222	-0.389	-0.389	-0.778	-0.833	0.722	-0.389	-0.111	0	1
-0.333	-0.222	-0.389	-0.389	-0.778	-0.833	0.722	-0.389	-0.111	-0.556	0	1
-0.222	-0.389	-0.389	-0.778	-0.833	0.722	-0.389	-0.111	-0.556	-0.556	0	1
